"RT @JohnWren1950: ""left wing fascists"" LOL. Bless. #auspol #RWNJ https://t.co/awmYFDa1AV"
UK Election #COAG UKIP #bxb1 #GE2017 #VoteLabour #ForTheMany @jeremycorbyn  London #LondonBridgeAttack… https://t.co/jVFxMAoxuR
"PM @TurnbullMalcolm: Under changes agreed to today, it's ""inconceivable"" Brighton terrorist would have got parole. @theheraldsun #auspol"
RT @ScooterBodgie: Come back to Australia @TextorMark we need you to run @TurnbullMalcolm's next campaign 😂😂😂  #ge2017 #auspol
RT @SwannyQLD: The 10 lost years on climate change policy is entirely due to climate change deniers and vested interests #auspol
@TurnbullMalcolm  why you let 40 returned jihad's to be walking our streets ? #COAG #auspol #public #safety #terrorism
Finkel review: Households could save up to $1000 over a decade under clean energy target https://t.co/hjNrhKjlHy #auspol
RT @ScienceChiefAu: Dr Finkel has released his review into the Future Security of the National #Electricity Market #auspol #FinkelReview ht…
"RT @sallymcmanus: Entsch called them clowns, so the clown army retaliated this morning in Cairns #auspol https://t.co/MXFmgE2NWo"
RT @yellafulla: Leading Indigenous lawyer hits back at Marcia Langton over #Adani https://t.co/6gIDjaWqRb @NITV @AnnastaciaMP  #auspol
@JoshBBornstein and  Bernie  ! @SenSanders  he is world wide force - just a shame he didn't go for #POTUS #auspol… https://t.co/sLNTSBcwsk
"Usual reason - desperate hope it will fix polls &amp; #RWNJ uncles with knives at his back.
Usual result: fizzer.… https://t.co/MDZDa7XpBA"
UK Election #COAG UKIP #bxb1 #GE2017 #VoteLabour #ForTheMany @jeremycorbyn  London #LondonBridgeAttack… https://t.co/gXX6Em7yPZ
RT @otiose94: #uspoli @potus Not a President by Annette Mullender https://t.co/qvlWMShDzN https://t.co/1d0spIbQsQ #auspol #ComeyHearings
"Enoch was right. Only closed borders, internment and mass deportation can save the British now. #auspol https://t.co/X1rlZcOjCu"
Students with a positive disposition towards school are more likely to complete Yr 12 https://t.co/jbRU0qpb4p… https://t.co/56WgO5two5
RT @tmgedu: @MelbourneLabor Many lessons for ALP here. A different kind of party is needed. #auspol
Politicians blathering away on TV about terrorism ... yawn. #auspol
#adanigroup 93% of Australia doesnt want your dirty #carmichaelmine #auspol #eatadickadani
"RT @cleverick: Allen Arthur, I draw your attention to: Jews in WWII, Mediterraneans after it, Vietnamese in 70s, Kosovars in 90s... #auspol…"
@FinancialReview Chief sycophant #finkelreview #auspol
RT @P34C3_M4K3R: #auspol @aglenergy https://t.co/QVtHisQU3J
"RT @YaThinkN: #Auspol Political Parties &amp; Politicians would have to put 'voters' first for that to happen, not enough have 'integrity' to d…"
@brandonrgates @tedmilo100 @DavidAHoward @Vivarn8 @EdDarrell @JosephMajkut @CitronCockatoo @SapientHetero… https://t.co/nxQU1X4est
"RT @vanbadham: Here's Australia being snooty about Lord Bucket Head as if Malcolm Roberts never happened.
#auspol https://t.co/oINBHPMlDV"
UK Election #COAG UKIP #bxb1 #GE2017 #VoteLabour #ForTheMany @jeremycorbyn  London #LondonBridgeAttack… https://t.co/2Vc9Y3wbcW
But Gove. #toldyouthegirlsclubpicksarealwaysduds #auspol https://t.co/93Xj0t4br4
