wanabbillionair,195,558
Tom_in_Oz_,568,25
GregWRoss,278,361
steve1231231231,564,4998
lozfor,1991,2275
n2tw2,64,138
mandygunn61,307,1375
nickbarnesaus,1708,2310
ozjust11,542,1170
GoldCoastBlog,2092,933
suzlette333,6028,5796
Lbirdsville,267,444
Sandra_Sully,126791,6745
wooferunleashed,313,205
PeterRelph,2154,2165
philos75pj,65,219
BarsHeartNPO,2093,348
multioptioned,381,599
garethdavies110,168,480
Jansant,5906,5145
Angelioannou,724,1242
intolerAunt,1622,2034
nvisionthing_au,2501,3129
Stivette,1779,1688
mark_perry309,1978,2255
MatesGirl28,341,334
DebbieLutz15,,
HelenLe72860390,74,138
metalfan2017,1335,3872
PiniduC_31,99,226
canthavepudding,4526,4391
Greenwood19,1077,1914
PoliticsFairfax,41725,528
ricklevy67,817,308
ScuzzaMan,495,193
rodneyholmes64,151,306
CSGstinks,1785,690
WilmaSlurrie,1440,1406
NatUnionWorkers,4319,424
kano778,474,476
cams__thoughts,222,709
CarlDou10610305,232,100
alpinejan,82,223
AmberX994874,4742,3760
allieannie1,1260,1302
TrevorMaher1,50,281
tqft9999,262,517
korstraw,2120,3151
Nic_Hayes,5299,5066
donaldh66287394,1152,1589
FaulcoBear,838,843
PaulNAustin,5163,349
BlindCanberra,7,36
lorraindeer,293,242
AmsAmscoo,624,2157
PolitiScopeOz,1040,940
craigthomler,10004,10937
ExposeTony_A,250,82
Slinguist,289,850
AcstalderJulie,32,197
michaelpurvis64,599,271
arnoldrimmer00,52,236
dallaskilponen,3566,2317
PeterWMurphy1,2176,2110
HEB2205,473,193
tournesol178,542,372
iwa_asf,115,86
PruesSoapbox,82,60
MSMWatchdog2013,8174,8988
roger3cav,302,155
AlanJMitchell_,1709,1447
AgeingHipster,57,517
IzzyGuzz,175,607
RorNotRed,2533,3017
JohnBelchamber,903,1379
kezincanberra,106,178
TheHateDetector,1812,1781
JanHurt6,3243,3254
garden_naoms,148,199
edinvoloder,815,2100
BobNew8,1251,1443
AcuSense,418,1075
LugubriousLarry,1559,3017
forzaACR,7,111
debyy,1054,2033
libertarian76,28,87
suzit500,66,35
Deyterkmahjerb,274,98
gemoase,1897,1747
Aenveigh,334,454
allisonBeDemure,1241,1955
KoparaFallsKid,3777,4096
theredpoppet,279,456
ExcitingPm,44,17
max_power50,783,2222
politicaltragic,2557,1751
Juliet777777,24828,16135
SpottyIreland,549,543
alexonline888,436,115
Helpnight,1288,1284
Thor0ughbred_,350,568
TheQCU,2578,1578
Fascistlefty,582,1115
writerbyter,609,851
jala_1,83,23
jbacon_jenny,39,55
abcadelaide,59682,1340
abcnewsAdelaide,74575,10
danmatthews85,517,4996
Pammieoz,1176,1073
PotentWood,314,382
zackster,3878,3526
Media_Stable,4911,5372
Donvoegt,2072,1635
ApoBiso,389,452
carolemorrissey,1567,2422
LaborFAIL,3920,421
mrbishe,369,659
anders8_r,256,445
annieljensen,1110,1271
APatriotAussie,771,774
crikeyitsmatt,1028,1392
camybobany,437,548
nanoview,944,484
PaulSiakew,230,373
SophiaMcGrane,2811,3045
DanielFisher,970,744
kilkivanray,568,1021
P_B_Wee,568,1757
Ausshot3Dave,2536,4199
Mme_de_Boo,601,1806
lana_arcus,2422,3154
MargInnes,272,493
dazza50,1555,4646
Tam_A_Le,167,179
justanotweet,3867,3695
smea8478,3173,4416
haleydermody,8,77
Veronika_Ih,494,99
caroltpsworld,4315,3697
MaritimeUnionAU,8404,5807
navypti,411,540
PuttaTweets,1197,540
josh1782,828,2053
bmansell83,10,97
les_1968,386,137
pepsee45,1685,829
themarkjacka,998,921
equityliberty,954,1954
OzMacca46,157,181
joxer,1360,2525
jasemurphy,4019,1080
ChrisAirey1990,555,796
StolenWhat_,14,172
IsaD88,960,2048
Petitioner007,514,506
madsenmvp,31,80
mackaysuzie,4594,453
creece_leon,207,323
nkweggs,1541,714
Ozilad,2685,3031
RNDrive,10408,1835
bunyip_v,2,7
Atheist_IMAGINE,1564,3968
conservativektg,16,43
MMpolytechnical,354,3354
castellanosce,73382,18882
funfun50,389,131
marxdeane,5204,4613
Terra_Fullius,254,475
banas51,3401,3287
GhostSwirv,1355,2337
CorruptNSW,4598,5041
wikedleaks,186,54
rickypann,326,793
ItsBouquet,8597,4109
SSLsoundguy,3312,2976
SophiePointer,239,208
1075rosebud,1525,3181
Forthleft2,7979,6991
DigitalAyrshire,1707,111
Justpeachijo,1637,820
JenniferConley7,496,847
JonathonLouth,588,600
Phil_B7,2369,2283
StewartMJackson,454,468
AnaMilosevic7,1741,1359
DamienShort,674,734
Phil_Laird1,2581,479
AusGovGunFacts,1213,1556
LucasDavid__,30,136
autoday,46136,45762
GeochemOz,303,458
King2712King,1600,1764
ActOnClimateVic,802,1088
CyberTaters,11998,7007
fehowarth,3149,2416
RichardTuffin,11719,10252
nippie_sweety,998,918
OccupiedOutback,2638,3245
trainspotter67,898,2580
primroseriordan,8584,3920
fladdle,137,82
reynardvi,1578,1891
deejayhodder,1634,2448
Robert_Dow,2033,817
SurraSonia,12,152
KristinG63,754,971
alexanderwhite,4911,360
jar_climate,2034,2019
JudyMarymary,269,301
keating01,7648,7946
AluckOwner,47,99
DavidLifeCoach,1376,602
paddo_ron,3224,4999
LesStonehouse,2771,1462
jboyded,2134,450
RunawayBudgie,3529,2674
PandM4012,300,1066
doonnjen,14,51
maggiemaySC,163,117
123every1_agree,2,63
powerupone,1,86
tinalorentz,2482,2882
mavisgrizzltits,1539,2266
maxtrish,573,869
snaglet,834,2249
Littlesparrow9,514,570
wilkoooo,193,754
CharlizeTheroff,919,1179
SushilRamrakha,658,1711
Scruffbucket,5326,3601
Adrian_Dodd,2045,2881
frogpondsrock,3172,2226
A_Hatchetman,254,260
WhosFibbing,4258,2237
FluterOz,524,378
leftocentre,11797,9743
stugtr,186,253
rosieslewis,2053,945
parakev,2125,2170
Auspol_Talk,2,80
alyxei1,1957,2573
DaveMyFace,1518,1518
ThatDamonGuy,2199,2410
AmbientUXr,2918,3761
poppasilverback,65,107
andresoventi,241,56
natufian,229,2987
capitalmonitor,1147,1500
reds_2001,3441,3623
jackieskane,1414,1853
thatmarxtart,3889,4469
diannaarton,60,178
mojopono,651,909
LostNFound19,46,344
Tweeds01,1067,895
barobertson111,1123,1203
lazerzap,2820,2016
brettahogan,406,194
stavors062,686,897
frank8427zz9za,7297,5656
NSWConSupPage,77,7
LibNatSupWA,55,152
VicConSupPage,105,7
kawunnee,1907,281
iDGiam,17591,17529
fjerez59,45,271
Boeufblogginon,4485,2683
ladywhitepeace1,10230,2863
1RickErickson,216,243
sineFilis,26,85
jan_olson,1807,2045
other95,552,1160
Jmcduf01,91,127
DLasaration,530,814
CeltPowell,362,271
andymiles1980,759,4018
jenniferbech,829,830
davidlamond,1366,699
ChristinaMac1,1053,424
n_kosteva,256,590
secularschools,631,409
